platform,department,title,category,file_type,relative_path
OneNote,IT,Index Rebuild Demo Notes,RAG Admin,MD,onenote/Enterprise Knowledge Base/IT/RAG Admin/index_rebuild_demo_notes.md
OneNote,IT,Graph Connector Setup Notes,Connector Notes,MD,onenote/Enterprise Knowledge Base/IT/Connector Notes/graph_connector_setup_notes.md
OneNote,HR,Leave Approval Examples,Policy Notes,MD,onenote/Enterprise Knowledge Base/HR/Policy Notes/leave_approval_examples.md
OneNote,HR,Onboarding Day 1 Notes,Onboarding,MD,onenote/Enterprise Knowledge Base/HR/Onboarding/onboarding_day_1_notes.md
OneNote,HR,Benefits Claim Reminders,Benefits,MD,onenote/Enterprise Knowledge Base/HR/Benefits/benefits_claim_reminders.md
OneNote,HR,Misconduct Review Notes,Employee Relations,MD,onenote/Enterprise Knowledge Base/HR/Employee Relations/misconduct_review_notes.md
OneNote,ENGINEERING,Pull Request Review Notes,Development,MD,onenote/Enterprise Knowledge Base/ENGINEERING/Development/pull_request_review_notes.md
OneNote,ENGINEERING,RAG Evaluation Notes,AI Quality,MD,onenote/Enterprise Knowledge Base/ENGINEERING/AI Quality/rag_evaluation_notes.md
OneNote,ENGINEERING,Release Checklist Notes,Release,MD,onenote/Enterprise Knowledge Base/ENGINEERING/Release/release_checklist_notes.md
OneNote,ENGINEERING,API Error Handling Notes,Backend,MD,onenote/Enterprise Knowledge Base/ENGINEERING/Backend/api_error_handling_notes.md
OneNote,SECURITY,Incident Severity Notes,Incident Response,MD,onenote/Enterprise Knowledge Base/SECURITY/Incident Response/incident_severity_notes.md
OneNote,SECURITY,Data Classification Examples,Governance,MD,onenote/Enterprise Knowledge Base/SECURITY/Governance/data_classification_examples.md
OneNote,SECURITY,Phishing Drill Notes,Awareness,MD,onenote/Enterprise Knowledge Base/SECURITY/Awareness/phishing_drill_notes.md
OneNote,SECURITY,Secret Handling Notes,Engineering Security,MD,onenote/Enterprise Knowledge Base/SECURITY/Engineering Security/secret_handling_notes.md
OneNote,OPERATIONS,Shift Handover Notes,Service Desk,MD,onenote/Enterprise Knowledge Base/OPERATIONS/Service Desk/shift_handover_notes.md
OneNote,OPERATIONS,SLA Escalation Examples,Customer Ops,MD,onenote/Enterprise Knowledge Base/OPERATIONS/Customer Ops/sla_escalation_examples.md
OneNote,OPERATIONS,Continuity Exercise Notes,BCP,MD,onenote/Enterprise Knowledge Base/OPERATIONS/BCP/continuity_exercise_notes.md
OneNote,OPERATIONS,Knowledge Article Notes,Knowledge Ops,MD,onenote/Enterprise Knowledge Base/OPERATIONS/Knowledge Ops/knowledge_article_notes.md
Local Upload,HR,Hybrid Work Equipment Allowance 2026,Employee Benefits,DOCX,local_upload/demo_manual_Hybrid_Work_Equipment_Allowance_2026.docx
Connector Source Copy,IT,Emergency Laptop Replacement Runbook 2026,IT Operations,PDF,local_upload/demo_onedrive_Emergency_Laptop_Replacement_Runbook_2026.pdf
Connector Source Copy,OPERATIONS,Critical Client Handover Checklist 2026,Service Desk,TXT,local_upload/demo_onenote_Critical_Client_Handover_Checklist_2026.txt
OneDrive,IT,Emergency Laptop Replacement Runbook 2026,IT Operations,PDF,onedrive/Enterprise Knowledge Base/IT/demo_onedrive_Emergency_Laptop_Replacement_Runbook_2026.pdf
OneNote,OPERATIONS,Critical Client Handover Checklist 2026,Service Desk,TXT,onenote/Enterprise Knowledge Base/OPERATIONS/Service Desk/demo_onenote_Critical_Client_Handover_Checklist_2026.txt
